subj_num	age_group	new_block	x_t	b_t	mu_t	c_t	r_t	sigma	v_t	z_t	cond	ip	saw	init_rt	rt
58	4	0	8	24.5	13	0	1	17.5	0	24.5	main_noPush	17	32	NaN	0.535657878033817
58	4	0	39	23	13	0	0.25	17.5	0	24.5	main_noPush	17	32	1.73285570298322	2.31734863796737
58	4	0	18	30.5	13	0	1	17.5	0	23	main_noPush	17	32	0.373052963986993	0.84175416798098
58	4	0	15	30.5	13	0	0.25	17.5	0	30.5	main_noPush	17	32	NaN	0.991378280974459
58	4	0	23	23	13	0	0.25	17.5	1	30.5	main_noPush	17	32	1.60102699499112	2.04836399602937
58	4	0	18	23	13	0	0.25	17.5	0	23	main_noPush	17	32	NaN	0.850946269987617
58	4	0	1	23	13	0	0.25	17.5	0	23	main_noPush	17	32	NaN	0.768099898006767
58	4	0	31	20	13	0	1	17.5	0	23	main_noPush	17	32	0.510635162005201	0.880028506042436
58	4	0	20	26	13	0	1	17.5	0	20	main_noPush	17	32	1.19658782205079	1.59105444303714
58	4	0	32	26	13	0	0.25	17.5	0	26	main_noPush	17	32	NaN	1.01734252402093
58	4	0	34	26	13	0	0.25	17.5	0	26	main_noPush	17	32	NaN	1.92483336897567
58	4	0	17	30.5	13	0	0.25	17.5	0	26	main_noPush	17	32	1.30836871400243	1.47249321400886
58	4	0	22	30.5	13	0	0.25	17.5	0	30.5	main_noPush	17	32	NaN	0.884416861983482
58	4	0	49	30.5	13	0	0.25	17.5	0	30.5	main_noPush	17	32	NaN	0.80632048600819
58	4	0	7	39.5	13	0	1	17.5	0	30.5	main_noPush	17	32	1.18384569796035	1.62712334096432
58	4	0	33	15.5	13	0	1	17.5	0	39.5	main_noPush	17	32	0.235148543026298	0.92932588304393
58	4	0	22	20	13	0	1	17.5	0	15.5	main_noPush	17	32	0.372967411007266	1.25638580601662
58	4	0	21	20	13	0	0.25	17.5	0	20	main_noPush	17	32	NaN	0.440351455006748
58	4	0	21	20	13	0	0.25	17.5	0	20	main_noPush	17	32	NaN	0.489649104012642
58	4	0	36	20	13	0	0.25	17.5	0	20	main_noPush	17	32	NaN	0.577208074973896
58	4	0	8	27.5	13	0	1	17.5	0	20	main_noPush	17	32	1.13915047998307	2.26616736699361
58	4	0	29	24.5	13	0	1	17.5	0	27.5	main_noPush	17	32	0.211742893035989	0.744822356035002
58	4	0	157	24.5	173	1	1	17.5	0	24.5	main_noPush	17	32	NaN	0.348491054028273
58	4	0	154	143	173	0	0.25	17.5	0	24.5	main_noPush	17	32	0.0978315040119924	2.21119534998434
58	4	0	158	149	173	0	1	17.5	0	143	main_noPush	17	32	0.827906980994157	1.19854429399129
58	4	0	170	149	173	0	1	17.5	0	149	main_noPush	17	32	NaN	1.78707295900676
58	4	0	198	160	173	0	1	17.5	0	149	main_noPush	17	32	0.438529250968713	1.9481374300085
58	4	0	173	187	173	0	0.25	17.5	0	160	main_noPush	17	32	0.257962073024828	1.23568538099062
58	4	1	137	150	139	0	1	17.5	0	150	main_noPush	17	32	NaN	2.49154052999802
58	4	0	140	148.5	139	0	0.25	17.5	0	150	main_noPush	17	32	1.76942785602296	2.70739781402517
58	4	0	159	148.5	139	0	0.25	17.5	0	148.5	main_noPush	17	32	NaN	2.0593857030035
58	4	0	102	150	139	0	1	17.5	0	148.5	main_noPush	17	32	0.795690908038523	1.4750738030416
58	4	0	135	132	139	0	0.25	17.5	0	150	main_noPush	17	32	0.324696169001982	1.85405688005267
58	4	0	160	132	139	0	0.25	17.5	0	132	main_noPush	17	32	NaN	0.94092390104197
58	4	0	165	137	139	0	1	17.5	1	132	main_noPush	17	32	0.650002444977872	1.51269666501321
58	4	0	167	146.5	139	0	0.25	17.5	0	137	main_noPush	17	32	0.118587120028678	1.30593523703283
58	4	0	131	149.5	139	0	0.25	17.5	1	146.5	main_noPush	17	32	0.44285430299351	1.64730231399881
58	4	0	161	144.5	139	0	0.25	17.5	0	149.5	main_noPush	17	32	2.01384844304994	2.45886729500489
58	4	0	134	146	139	0	1	17.5	0	144.5	main_noPush	17	32	0.743134691030718	0.929013754008338
58	4	0	99	146	105	1	1	17.5	0	146	main_noPush	17	32	NaN	0.463948655000422
58	4	0	122	125	105	0	0.25	17.5	0	146	main_noPush	17	32	0.393419896950945	1.55923808499938
58	4	0	113	125	105	0	0.25	17.5	0	125	main_noPush	17	32	NaN	0.759355661983136
58	4	0	84	125	105	0	0.25	17.5	0	125	main_noPush	17	32	NaN	1.02172156097367
58	4	0	104	107	105	0	1	17.5	0	125	main_noPush	17	32	0.625036787998397	1.55221658700611
58	4	0	97	107	105	0	0.25	17.5	0	107	main_noPush	17	32	NaN	0.874020701972768
58	4	0	133	107	105	0	1	17.5	0	107	main_noPush	17	32	NaN	1.12324482901022
58	4	0	113	117	105	0	0.25	17.5	0	107	main_noPush	17	32	0.484501728031319	1.34516180801438
58	4	0	155	117	193	1	0.25	17.5	0	117	main_noPush	17	32	NaN	1.07484883395955
58	4	0	202	135	193	0	0.25	17.5	0	117	main_noPush	17	32	0.347247159981634	1.36598467896692
58	4	0	196	162	193	0	0.25	17.5	0	135	main_noPush	17	32	0.187780394044239	1.64668234303826
58	4	0	199	172.5	193	0	1	17.5	0	162	main_noPush	17	32	0.766329635982402	1.732043039985
58	4	0	239	178.5	193	0	0.25	17.5	0	172.5	main_noPush	17	32	0.599355908983853	1.53840447694529
58	4	0	170	205.5	193	0	0.25	17.5	0	178.5	main_noPush	17	32	0.232370344980154	1.464033946977
58	4	0	179	196.5	193	0	1	17.5	0	205.5	main_noPush	17	32	0.985854864993598	1.79516278702067
58	4	0	228	196.5	193	0	0.25	17.5	0	196.5	main_noPush	17	32	NaN	2.40790159697644
58	4	0	201	208.5	193	0	1	17.5	0	196.5	main_noPush	17	32	0.188403642969206	1.15851350600133
58	4	0	185	208.5	193	0	1	17.5	0	208.5	main_noPush	17	32	NaN	0.854397301969584
58	4	0	209	202	193	0	0.25	17.5	0	208.5	main_noPush	17	32	0.558794700016733	1.58718359202612
58	4	0	192	202	193	0	0.25	17.5	0	202	main_noPush	17	32	NaN	0.851791680965107
58	4	0	188	202	193	0	1	17.5	0	202	main_noPush	17	32	NaN	0.735738777962979
58	4	0	162	202	193	0	0.25	17.5	0	202	main_noPush	17	32	NaN	0.668834215030074
58	4	0	224	191.5	193	0	1	17.5	0	202	main_noPush	17	32	0.767274380952585	1.85271305096103
58	4	0	207	200.5	193	0	0.25	17.5	0	191.5	main_noPush	17	32	0.349934318976011	1.22746729600476
58	4	0	234	200.5	243	1	0.25	17.5	0	200.5	main_noPush	17	32	NaN	0.985143268015236
58	4	0	271	215.5	243	0	1	17.5	0	200.5	main_noPush	17	32	2.37593315099366	3.48554782901192
58	4	0	251	239.5	243	0	0.25	17.5	0	215.5	main_noPush	17	32	0.30069102201378	1.14243296999484
58	4	0	233	239.5	243	0	1	17.5	0	239.5	main_noPush	17	32	NaN	1.28219938103575
58	4	0	223	239.5	243	0	0.25	17.5	0	239.5	main_noPush	17	32	NaN	0.323483149986714
58	4	0	15	234.5	13	1	1	17.5	0	239.5	main_noPush	17	32	0.711278999049682	1.2939084340469
58	4	0	12	84.5	13	0	1	17.5	0	234.5	main_noPush	17	32	0.301990456006024	2.81478310201783
58	4	0	12	84.5	13	0	1	17.5	0	84.5	main_noPush	17	32	NaN	0.0255544669926167
58	4	0	15	42.5	13	0	1	17.5	0	84.5	main_noPush	17	32	0.64991086703958	1.89008883200586
58	4	0	4	31.5	13	0	0.25	17.5	0	42.5	main_noPush	17	32	1.02531817095587	2.31077797297621
58	4	0	13	25.5	13	0	0.25	17.5	0	31.5	main_noPush	17	32	0.00324815994827077	1.25543429795653
58	4	0	13	25.5	13	0	1	17.5	0	25.5	main_noPush	17	32	NaN	0.552906222001184
58	4	0	1	25.5	13	0	1	17.5	0	25.5	main_noPush	17	32	NaN	0.486322331998963
58	4	0	15	18	13	0	0.25	17.5	0	25.5	main_noPush	17	32	0.829622859018855	1.35963600297691
58	4	0	22	21	13	0	1	17.5	0	18	main_noPush	17	32	0.830389376031235	1.15371981199132
58	4	0	210	21	225	1	1	17.5	0	21	main_noPush	17	32	NaN	0.231360833975486
58	4	0	243	195	225	0	0.25	17.5	0	21	main_noPush	17	32	0.302908518991899	3.55118532298366
58	4	0	187	226.5	225	0	1	17.5	0	195	main_noPush	17	32	0.0965023569879122	1.64129858999513
58	4	0	257	207	225	0	1	17.5	0	226.5	main_noPush	17	32	0.506840270012617	1.223029736022
58	4	0	244	237	225	0	1	17.5	0	207	main_noPush	17	32	0.075847092026379	1.12641033501131
58	4	0	226	240	225	0	1	17.5	0	237	main_noPush	17	32	0.73491447098786	1.2893089770223
58	4	0	197	238	225	0	1	17.5	0	240	main_noPush	17	32	0.257780779968016	0.535013020969927
58	4	0	251	220	225	0	0.25	17.5	0	238	main_noPush	17	32	0.0294849289930426	0.931938878959045
58	4	0	256	232	268	1	0.25	17.5	0	220	main_noPush	17	32	0.144173401000444	0.999845054990146
58	4	0	254	261.5	268	0	0.25	17.5	1	232	main_noPush	17	32	0.609284931968432	3.65360431099543
58	4	0	264	259.5	268	0	0.25	17.5	0	261.5	main_noPush	17	32	0.749878150993027	1.11997238703771
58	4	0	289	259.5	268	0	0.25	17.5	0	259.5	main_noPush	17	32	NaN	0.255480091960635
58	4	0	264	289.5	268	0	1	17.5	0	259.5	main_noPush	17	32	0.981807403964922	1.92554661096074
58	4	0	246	282	268	0	0.25	17.5	0	289.5	main_noPush	17	32	0.512050110031851	0.909122132055927
58	4	0	279	273	268	0	1	17.5	1	282	main_noPush	17	32	0.0026628120103851	0.521641799015924
58	4	0	268	273	268	0	0.25	17.5	0	273	main_noPush	17	32	NaN	0.786621514009312
58	4	0	257	273	268	0	0.25	17.5	0	273	main_noPush	17	32	NaN	0.395633116015233
58	4	0	245	271	268	0	1	17.5	0	273	main_noPush	17	32	0.444887520978227	0.791715562983882
58	4	0	252	263.5	268	0	1	17.5	0	271	main_noPush	17	32	0.0026521310210228	0.701047588023357
58	4	0	255	263.5	268	0	1	17.5	0	263.5	main_noPush	17	32	NaN	0.581943308003247
58	4	0	282	261	268	0	0.25	17.5	0	263.5	main_noPush	17	32	2.02790247200755	2.3790135079762
58	4	0	271	266.5	268	0	1	17.5	0	261	main_noPush	17	32	0.167680659971666	0.708690394007135
58	4	0	270	266.5	268	0	0.25	17.5	0	266.5	main_noPush	17	32	NaN	0.119037710013799
58	4	0	285	266.5	268	0	0.25	17.5	0	266.5	main_noPush	17	32	NaN	0.0244526810129173
58	4	0	297	272.5	268	0	0.25	17.5	1	266.5	main_noPush	17	32	0.261651045992039	0.854606604960281
58	4	0	254	262.5	268	0	0.25	17.5	0	272.5	main_noPush	17	32	2.00601114099845	3.00224471400725
58	4	0	258	261	268	0	0.25	17.5	0	262.5	main_noPush	17	32	0.536875992955174	0.744288449990563
58	4	0	259	261	268	0	1	17.5	0	261	main_noPush	17	32	NaN	0.811320513021201
58	4	0	256	261	268	0	1	17.5	0	261	main_noPush	17	32	NaN	0.372476300981361
58	4	0	251	261	268	0	0.25	17.5	1	261	main_noPush	17	32	NaN	0.902215133013669
58	4	0	256	261	247	1	0.25	17.5	0	261	main_noPush	17	32	NaN	0.391819407988805
58	4	0	251	261	247	0	0.25	17.5	0	261	main_noPush	17	32	NaN	1.01798137801234
58	4	0	260	261	247	0	1	17.5	0	261	main_noPush	17	32	NaN	0.486685952986591
58	4	0	248	261	247	0	0.25	17.5	0	261	main_noPush	17	32	NaN	0.442683371016756
58	4	0	42	258.5	27	1	0.25	17.5	0	261	main_noPush	17	32	1.25747944897739	1.47060729499208
58	4	0	19	71	27	0	1	17.5	0	258.5	main_noPush	17	32	0.237139999982901	3.21337289497023
58	4	0	11	33.5	27	0	0.25	17.5	0	71	main_noPush	17	32	0.0282515009748749	1.10941252997145
58	4	0	22	20	27	0	0.25	17.5	0	33.5	main_noPush	17	32	0.00273045501671731	1.25766661198577
58	4	0	45	22.5	27	0	0.25	17.5	0	20	main_noPush	17	32	0.281976589001715	0.538466031954158
58	4	0	51	30	27	0	1	17.5	0	22.5	main_noPush	17	32	0.76860058697639	1.40457111201249
58	4	0	13	31.5	27	0	0.25	17.5	0	30	main_noPush	17	32	0.256774540001061	0.702206710004248
58	4	0	23	26	27	0	1	17.5	0	31.5	main_noPush	17	32	0.44375931401737	1.18966184702003
58	4	0	74	26	80	1	1	17.5	0	26	main_noPush	17	32	NaN	0.258372286043596
58	4	0	57	56	80	0	1	17.5	0	26	main_noPush	17	32	0.119339454977307	0.933043383993208
58	4	0	98	56	80	0	1	17.5	0	56	main_noPush	17	32	NaN	0.235770498984493
58	4	0	94	69.5	80	0	1	17.5	0	56	main_noPush	17	32	0.0732835179660469	0.673133542004507
58	4	0	88	81.5	80	0	0.25	17.5	0	69.5	main_noPush	17	32	0.54982346604811	1.53982228401583
58	4	0	86	81.5	80	0	1	17.5	0	81.5	main_noPush	17	32	NaN	0.589999941003043
58	4	0	64	81.5	80	0	1	17.5	0	81.5	main_noPush	17	32	NaN	1.19610801001545
